action_datetime,path_name,method,ip,status_response,response,description,request_body,request_query,duration
2024-10-07 15:40:14,/,GET,127.0.0.1,404,"{""detail"":""Not Found""}",,,"{'path': {}, 'query': {}}",0.0
2024-10-08 16:37:06,//add,POST,127.0.0.1,404,"{""detail"":""Not Found""}",,,"{'path': {}, 'query': {}}",0.0
2024-10-08 16:37:55,//add,POST,127.0.0.1,404,"{""detail"":""Not Found""}",,"{""payer"": ""DANNON"", ""points"": 5000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.001
2024-10-08 16:39:42,//add,POST,127.0.0.1,404,"{""detail"":""Not Found""}",,"{""payer"": ""DANNON"", ""points"": 5000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.008
2024-10-08 16:42:34,//add,POST,127.0.0.1,404,"{""detail"":""Not Found""}",,"{""payer"": ""DANNON"", ""points"": 5000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:42:53,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:44:11,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:44:35,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:45:03,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:45:32,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:51:02,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:51:46,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:51:56,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:52:56,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:53:52,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:54:06,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:54:26,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 5000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 16:56:43,/add,POST,127.0.0.1,200,"{""detail"":""Successfully added points""}",,"{""payer"": ""DANNON"", ""points"": 5000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.037
2024-10-08 16:57:06,/add,POST,127.0.0.1,200,"{""detail"":""Successfully added points""}",,"{""payer"": ""DANNON"", ""points"": 6000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.027
2024-10-08 16:57:18,/add,POST,127.0.0.1,400,"{""detail"":""Failed to create a payer""}",,"{""payer"": ""DANNON"", ""points"": -6000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.016
2024-10-08 17:02:57,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : -6000,
    ""timestamp"" : ""2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 17:03:14,/add,POST,127.0.0.1,400,"{""detail"":""You don't have enough points""}",,"{""payer"": ""DANNON"", ""points"": -6000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.031
2024-10-08 17:03:35,/add,POST,127.0.0.1,400,"{""detail"":""You don't have enough points""}",,"{""payer"": ""DANNON"", ""points"": -6000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.008
2024-10-08 17:06:03,/add,POST,127.0.0.1,200,"{""detail"":""Successfully added points""}",,"{""payer"": ""DANNON"", ""points"": -6000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.032
2024-10-08 17:08:11,/add,POST,127.0.0.1,400,"{""detail"":""You don't have enough points""}",,"{""payer"": ""DANNON"", ""points"": -6000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.033
2024-10-08 17:10:15,/add,POST,127.0.0.1,400,"{""detail"":""You don't have enough points""}",,"{""payer"": ""DANNON"", ""points"": -6000, ""timestamp"": ""loz""}","{'path': {}, 'query': {}}",0.008
2024-10-08 17:10:22,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 1000,
    ""timestamp"" : ""loz""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 17:12:03,/add,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""payer"" : ""DANNON"",
    ""points"" : 1000,
    ""timestamp"" : ""loz""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 17:14:10,/add,POST,127.0.0.1,400,"{""detail"":""Invalid timestamp""}",,"{""payer"": ""DANNON"", ""points"": 1000, ""timestamp"": ""loz""}","{'path': {}, 'query': {}}",0.009
2024-10-08 17:17:48,/spend,GET,127.0.0.1,405,"{""detail"":""Method Not Allowed""}",,"{""points"": 5000}","{'path': {}, 'query': {}}",0.0
2024-10-08 17:17:54,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""points"" : 5000
}
","{'path': {}, 'query': {}}",0.0
2024-10-08 17:18:18,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""points"" : 5000
}
","{'path': {}, 'query': {}}",0.0
2024-10-08 17:19:36,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.019
2024-10-08 17:23:04,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.029
2024-10-08 17:32:24,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""points"" : 5000
}
","{'path': {}, 'query': {}}",0.0
2024-10-08 17:34:40,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.008
2024-10-08 17:35:08,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.017
2024-10-08 17:35:31,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.005
2024-10-08 17:37:35,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.016
2024-10-08 17:42:01,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.008
2024-10-08 17:42:49,/spend,POST,127.0.0.1,200,null,,"{""points"": 5000}","{'path': {}, 'query': {}}",0.013
2024-10-08 17:43:12,/add,POST,127.0.0.1,400,"{""detail"":""Invalid timestamp""}",,"{""payer"": ""MUMU"", ""points"": 1000, ""timestamp"": ""loz""}","{'path': {}, 'query': {}}",0.008
2024-10-08 17:43:22,/add,POST,127.0.0.1,400,,,"{
    ""payer"" : ""MUMU"",
    ""points"" : 1000,
    ""timestamp"" : """"2020-11-02T14:00:00Z""
}","{'path': {}, 'query': {}}",0.0
2024-10-08 17:43:28,/add,POST,127.0.0.1,200,"{""detail"":""Successfully added points""}",,"{""payer"": ""MUMU"", ""points"": 1000, ""timestamp"": ""2020-11-02T14:00:00Z""}","{'path': {}, 'query': {}}",0.041
2024-10-08 17:43:49,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.009
2024-10-08 17:44:19,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.006
2024-10-08 17:44:37,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.011
2024-10-08 17:46:19,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.016
2024-10-08 17:46:58,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.008
2024-10-08 17:47:28,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.011
2024-10-08 17:48:13,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.006
2024-10-08 17:48:40,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.016
2024-10-08 17:54:13,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.024
2024-10-08 17:54:35,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.025
2024-10-08 17:58:41,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.026
2024-10-08 18:15:19,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""points"" : 6000
}
","{'path': {}, 'query': {}}",0.0
2024-10-08 18:16:19,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""points"" : 6000
}
","{'path': {}, 'query': {}}",0.0
2024-10-08 18:16:43,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""points"" : 6000
}
","{'path': {}, 'query': {}}",0.0
2024-10-08 18:16:55,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},,"{
    ""points"" : 6000
}
","{'path': {}, 'query': {}}",0.0
2024-10-08 18:17:27,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""cannot unpack non-iterable NoneType object""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.046
2024-10-08 18:18:42,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.033
2024-10-08 18:25:03,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""can't set attribute""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.033
2024-10-08 18:29:32,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""database.models.user.UserPayer() argument after ** must be a mapping, not Row""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.033
2024-10-08 18:35:56,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""cannot access local variable 'points_by_payer_list' where it is not associated with a value""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.016
2024-10-08 18:36:13,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""cannot access local variable 'points_by_payer_list' where it is not associated with a value""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.016
2024-10-08 18:36:59,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""cannot unpack non-iterable NoneType object""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.017
2024-10-08 18:53:48,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""cannot unpack non-iterable NoneType object""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.032
2024-10-08 18:54:57,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.031
2024-10-08 18:55:14,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.029
2024-10-08 18:57:08,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.018
2024-10-08 18:57:51,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.032
2024-10-08 18:59:51,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.032
2024-10-08 19:05:50,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""points""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.031
2024-10-08 19:27:23,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""too many values to unpack (expected 2)""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.033
2024-10-08 19:27:36,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""too many values to unpack (expected 2)""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.026
2024-10-08 19:28:00,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""too many values to unpack (expected 2)""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.03
2024-10-08 19:29:18,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""UserPayer""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.01
2024-10-08 19:32:11,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""not enough values to unpack (expected 2, got 1)""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.028
2024-10-08 19:32:40,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.028
2024-10-08 19:33:11,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.029
2024-10-08 19:34:26,/spend,POST,127.0.0.1,200,null,,"{""points"": 6000}","{'path': {}, 'query': {}}",0.029
2024-10-08 19:39:47,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""'method' object has no attribute 'updated_at'""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.028
2024-10-08 19:40:10,/spend,POST,127.0.0.1,500,{'detail': 'Internal Server Error'},"{""detail"":""'method' object has no attribute 'updated_at'""}","{""points"": 6000}","{'path': {}, 'query': {}}",0.027
